Season,Title,AirDate,Rating,Num_Votes,DirectedBy,WrittenBy
1,Pilot,24/03/2005,7.5,4349,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels
1,Diversity Day,29/03/2005,8.3,4213,Ken Kwapis,B. J. Novak
1,Health Care,05/04/2005,7.8,3536,Ken Whittingham,Paul Lieberstein
1,The Alliance,12/04/2005,8.1,3428,Bryan Gordon,Michael Schur
1,Basketball,19/04/2005,8.4,3745,Greg Daniels,Greg Daniels
1,Hot Girl,26/04/2005,7.8,3372,Amy Heckerling,Mindy Kaling
2,The Dundies,20/09/2005,8.7,3780,Greg Daniels,Mindy Kaling
2,Sexual Harassment,27/09/2005,8.2,3218,Ken Kwapis,B. J. Novak
2,Office Olympics,04/10/2005,8.4,3218,Paul Feig,Michael Schur
2,The Fire,11/10/2005,8.4,3183,Ken Kwapis,B. J. Novak
2,Halloween,18/10/2005,8.1,2992,Paul Feig,Greg Daniels
2,The Fight,01/11/2005,8.2,2981,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg
2,The Client,08/11/2005,8.6,3087,Greg Daniels,Paul Lieberstein
2,Performance Review,15/11/2005,8.2,2828,Paul Feig,Larry Wilmore
2,E-Mail Surveillance,22/11/2005,8.4,2940,Paul Feig,Jennifer Celotta
2,Christmas Party,06/12/2005,8.9,3204,Charles McDougall,Michael Schur
2,Booze Cruise,05/01/2006,8.6,3115,Ken Kwapis,Greg Daniels
2,The Injury,12/01/2006,9.1,3783,Bryan Gordon,Mindy Kaling
2,The Secret,19/01/2006,8.3,2762,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky
2,The Carpet,26/01/2006,7.9,2745,"Victor Nelli, Jr.",Paul Lieberstein
2,Boys and Girls,02/02/2006,8.2,2723,Dennie Gordon,B. J. Novak
2,Valentine's Day,09/02/2006,8.3,2731,Greg Daniels,Michael Schur
2,Dwight's Speech,02/03/2006,8.5,2875,Charles McDougall,Paul Lieberstein
2,Take Your Daughter to Work Day,16/03/2006,8.3,2819,"Victor Nelli, Jr.",Mindy Kaling
2,Michael's Birthday,30/03/2006,8.1,2719,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
2,Drug Testing,27/04/2006,8.4,2783,Greg Daniels,Jennifer Celotta
2,Conflict Resolution,04/05/2006,8.7,2838,Charles McDougall,Greg Daniels
2,Casino Night,11/05/2006,9.4,4195,Ken Kwapis,Steve Carell
3,Gay Witch Hunt,21/09/2006,9,3608,Ken Kwapis,Greg Daniels
3,The Convention,28/09/2006,8.2,2663,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg
3,The Coup,05/10/2006,8.6,2787,Greg Daniels,Paul Lieberstein
3,Grief Counseling,12/10/2006,8,2686,Roger Nygard,Jennifer Celotta
3,Initiation,19/10/2006,8.2,2622,Randall Einhorn,B. J. Novak
3,Diwali,02/11/2006,8,2697,Miguel Arteta,Mindy Kaling
3,Branch Closing,09/11/2006,8.6,2642,Tucker Gates,Michael Schur
3,The Merger,16/11/2006,8.7,2768,Ken Whittingham,Brent Forrester
3,The Convict,30/11/2006,8.3,2772,Jeffrey Blitz,Ricky Gervais | Stephen Merchant
3,A Benihana Christmas,14/12/2006,8.8,2935,Harold Ramis,Jennifer Celotta
3,Back from Vacation,04/01/2007,8.5,2623,Julian Farino,Justin Spitzer
3,Traveling Salesmen,11/01/2007,8.6,2688,Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky
3,The Return,18/01/2007,8.8,2822,Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur
3,Ben Franklin,01/02/2007,8.1,2618,Randall Einhorn,Mindy Kaling
3,Phyllis' Wedding,08/02/2007,8.2,2641,Ken Whittingham,Caroline Williams
3,Business School,15/02/2007,8.9,3028,Joss Whedon,Brent Forrester
3,Cocktails,22/02/2007,8.5,2622,J. J. Abrams,Paul Lieberstein
3,The Negotiation,05/04/2007,9,2968,Jeffrey Blitz,Michael Schur
3,Safety Training,12/04/2007,8.8,2798,Harold Ramis,B. J. Novak
3,Product Recall,26/04/2007,8.8,2790,Randall Einhorn,Justin Spitzer | Brent Forrester
3,Women's Appreciation,03/05/2007,8.8,2785,Tucker Gates,Gene Stupnitsky | Lee Eisenberg
3,Beach Games,10/05/2007,9.1,3200,Harold Ramis,Jennifer Celotta | Greg Daniels
3,The Job,17/05/2007,9.3,3461,Ken Kwapis,Paul Lieberstein | Michael Schur
4,Fun Run,27/09/2007,8.8,3262,Greg Daniels,Greg Daniels
4,Dunder Mifflin Infinity,04/10/2007,8.3,2605,Craig Zisk,Michael Schur
4,Launch Party,11/10/2007,8.4,2517,Ken Whittingham,Jennifer Celotta
4,Money,18/10/2007,8.7,2707,Paul Lieberstein,Paul Lieberstein
4,Local Ad,25/10/2007,8.8,2767,Jason Reitman,B. J. Novak
